no,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
1,23.18,27.272,426,721.25,0.004792988,Yes
2,23.15,27.2675,429.5,714,0.004783441,Yes
3,23.15,27.245,426,713.5,0.004779464,Yes
4,23.15,27.2,426,708.25,0.004771509,Yes
5,23.1,27.2,426,704.5,0.004756993,Yes
6,23.1,27.2,419,701,0.004756993,Yes
7,23.1,27.2,419,701.6666667,0.004756993,Yes
8,23.1,27.2,419,699,0.004756993,Yes
9,23.1,27.2,419,689.3333333,0.004756993,Yes
10,23.075,27.175,419,688,0.004745351,Yes
11,23.075,27.15,419,690.25,0.004740952,Yes
12,23.1,27.1,419,691,0.004739371,Yes
13,23.1,27.16666667,419,683.5,0.004751119,Yes
14,23.05,27.15,419,687.5,0.004733732,Yes
15,23,27.125,419,686,0.004714942,Yes
16,23,27.125,418.5,680.5,0.004714942,Yes
17,23,27.2,0,681.5,0.004728078,No
18,22.945,27.29,0,685,0.004727951,No
19,22.945,27.39,0,685,0.004745408,No
20,22.89,27.39,0,689,0.004729506,No
21,22.89,27.39,0,689.5,0.004729506,No
22,22.89,27.39,0,689,0.004729506,No
23,22.89,27.445,0,691,0.004739076,No
24,22.89,27.5,0,688,0.004748645,No
25,22.89,27.5,0,689.5,0.004748645,No
26,22.79,27.445,0,689,0.004710224,No
27,22.79,27.5,0,685.6666667,0.004719735,No
28,22.79,27.5,0,687,0.004719735,No
29,22.79,27.5,0,688,0.004719735,No
30,22.745,27.5,0,670,0.004706776,No
31,22.7,27.46333333,0,668.6666667,0.004687543,No
32,22.7,27.5,0,670,0.004693849,No
33,22.7,27.5,0,667,0.004693849,No
34,22.66666667,27.42666667,0,664.5,0.004671708,No
35,22.7,27.6,0,670,0.004711047,No
36,22.6,27.42666667,0,670.3333333,0.004652699,No
37,22.6,27.39,0,672,0.004646433,No
38,22.6,27.35666667,0,658,0.004640736,No
39,22.6,27.445,0,660.5,0.004655833,No
40,22.6,27.42666667,0,658,0.004652699,No
41,22.6,27.445,0,655,0.004655833,No
42,22.6,27.445,0,654.25,0.004655833,No
43,22.6,27.39,0,648,0.004646433,No
44,22.5,27.32333333,0,648.6666667,0.004606763,No
